Sample_ID,Moisture (%),Ash (%),Volatile_Oil (%),Acid_Insoluble_Ash (%),Chromium (mg/kg),Coumarin (mg/kg),Quality_Label
H001,10.56,5.93,1.24,0.28,0.0019,0.0021,2
H002,11.43,5.6,1.35,0.25,0.0016,0.0039,2
H003,11.1,5.7,1.21,0.37,0.0013,0.0029,2
H004,10.9,5.76,1.47,0.27,0.0011,0.0035,2
H005,10.23,5.82,1.28,0.26,0.0013,0.0047,2
H006,10.23,6.05,1.4,0.31,0.0013,0.0027,2
H007,10.09,5.64,1.29,0.23,0.0017,0.0032,2
H008,11.3,5.86,1.36,0.36,0.0016,0.0043,2
H009,10.9,5.91,1.36,0.21,0.0019,0.0027,2
H010,11.06,5.53,1.26,0.4,0.0015,0.0022,2
H011,10.03,5.93,1.49,0.35,0.0011,0.0029,2
H012,11.45,5.62,1.43,0.24,0.0017,0.0025,2
H013,11.25,5.55,1.48,0.2,0.0018,0.0048,2
H014,10.32,6.16,1.47,0.36,0.0016,0.0044,2
H015,10.27,6.18,1.38,0.34,0.0018,0.0039,2
H016,10.28,6.07,1.48,0.35,0.0015,0.0046,2
H017,10.46,5.71,1.23,0.35,0.0015,0.0044,2
H018,10.79,5.57,1.26,0.21,0.0014,0.0026,2
H019,10.65,5.98,1.21,0.27,0.001,0.0047,2
H020,10.44,5.81,1.3,0.22,0.0011,0.0036,2
M001,12.21,6.96,1.07,0.37,0.0025,0.0096,1
M002,12.34,6.25,1.13,0.32,0.0016,0.009,1
M003,11.48,6.5,1.13,0.48,0.0017,0.0057,1
M004,11.17,6.3,1.11,0.48,0.0028,0.0076,1
M005,11.34,6.28,1.02,0.35,0.0024,0.0069,1
M006,11.64,6.04,1.17,0.43,0.0015,0.0067,1
M007,12.23,6.61,1.06,0.46,0.0017,0.0118,1
M008,12.29,6.5,1.04,0.41,0.0025,0.0078,1
M009,11.01,6.05,1.01,0.41,0.0015,0.0112,1
M010,11.77,6.28,1.12,0.35,0.0017,0.0094,1
M011,11.63,6.91,1.14,0.32,0.0023,0.0106,1
M012,11.33,6.24,1.0,0.48,0.0025,0.0085,1
M013,11.18,6.14,1.1,0.48,0.0025,0.009,1
M014,11.51,6.49,1.05,0.43,0.0018,0.0084,1
M015,12.41,6.99,1.13,0.37,0.0026,0.0064,1
M016,11.48,6.24,1.03,0.37,0.0019,0.0101,1
M017,11.78,6.67,1.14,0.45,0.002,0.007,1
M018,12.05,6.76,1.08,0.48,0.0026,0.0052,1
M019,11.55,6.24,1.19,0.48,0.0025,0.0095,1
M020,12.46,6.73,1.03,0.46,0.0028,0.0062,1
L001,13.88,7.23,0.87,0.52,0.0031,0.0149,0
L002,13.91,7.49,0.7,0.66,0.0034,0.0147,0
L003,13.83,6.9,0.71,0.66,0.0033,0.0117,0
L004,12.74,7.16,0.63,0.69,0.0026,0.0143,0
L005,12.03,7.41,0.77,0.72,0.0039,0.014,0
L006,13.86,7.32,0.61,0.79,0.0035,0.0162,0
L007,12.86,7.29,0.74,0.65,0.0031,0.0164,0
L008,13.93,7.29,0.76,0.6,0.0032,0.0105,0
L009,13.93,7.05,0.69,0.74,0.0028,0.0137,0
L010,13.71,7.01,0.78,0.58,0.0025,0.0163,0
L011,12.59,7.37,0.61,0.63,0.0027,0.015,0
L012,12.77,7.37,0.61,0.52,0.0035,0.0186,0
L013,13.7,7.41,0.85,0.51,0.002,0.0166,0
L014,12.63,7.44,0.71,0.79,0.0022,0.0116,0
L015,12.34,7.16,0.64,0.75,0.0021,0.0107,0
L016,13.11,7.15,0.76,0.71,0.0021,0.0164,0
L017,13.87,7.36,0.83,0.62,0.0037,0.0103,0
L018,13.39,7.25,0.66,0.55,0.0034,0.0159,0
L019,13.14,7.29,0.79,0.55,0.0029,0.0194,0
L020,12.19,7.36,0.63,0.58,0.0022,0.0158,0
