iteration,erreur_moy,nombre_egalite,nombre_preference,pred_vrai_egalite,pred_fausse_egalite,pred_vrai_preference,pred_fausse_preference,pred_fausse_inversion
0,0.000000,350,650,0,350,529,1,120
1,0.000000,317,683,0,317,564,0,119
2,0.000000,332,668,0,332,553,0,115
3,0.000000,302,698,0,302,590,0,108
4,0.000000,345,655,0,345,538,0,117
5,0.000000,314,686,0,314,568,0,118
6,0.000000,306,694,0,306,573,0,121
7,0.000000,333,667,0,333,531,0,136
8,0.000000,317,683,0,317,564,0,119
9,0.000000,325,675,0,325,553,0,122
10,0.000000,310,690,0,310,598,0,92
11,0.000000,316,684,0,316,559,0,125
12,0.000000,304,696,0,304,588,0,108
13,0.000000,328,672,0,328,565,0,107
14,0.000000,296,704,0,296,602,0,102
15,0.000000,312,688,0,312,575,0,113
16,0.000000,330,670,0,330,550,0,120
17,0.000000,314,686,0,314,569,0,117
18,0.000000,296,704,0,296,600,0,104
19,0.000000,287,713,40,247,355,94,264
20,0.000000,310,690,153,157,149,395,146
21,0.000000,327,673,1,326,563,1,109
22,0.000000,323,677,0,323,559,0,118
23,0.000000,335,665,0,335,545,0,120
24,0.000000,281,719,24,257,483,38,198
25,0.000000,295,705,0,295,588,0,117
26,0.000000,312,688,0,312,566,0,122
27,0.000000,314,686,0,314,573,0,113
28,0.000000,314,686,0,314,578,0,108
29,0.000000,327,673,0,327,556,0,117
30,0.000000,328,672,0,328,558,0,114
31,0.000000,337,663,0,337,556,0,107
32,0.000000,288,712,0,288,597,0,115
33,0.000000,313,687,0,313,571,0,116
34,0.000000,313,687,0,313,561,0,126
35,0.000000,318,682,0,318,568,0,114
36,0.000000,322,678,37,285,429,49,200
37,0.000000,310,690,0,310,577,1,112
38,0.000000,321,679,8,313,539,9,131
39,0.000000,304,696,0,304,587,0,109
40,0.000000,316,684,0,316,577,0,107
41,0.000000,302,698,16,286,496,41,161
42,0.000000,327,673,0,327,566,0,107
43,0.000000,302,698,0,302,582,0,116
44,0.000000,321,679,0,321,550,0,129
45,0.000000,305,695,0,305,599,0,96
46,0.000000,287,713,0,287,594,0,119
47,0.000000,287,713,10,277,536,29,148
48,0.000000,301,699,71,230,272,136,291
49,0.000000,300,700,258,42,53,603,44
50,0.000000,335,665,0,335,557,1,107
51,0.000000,297,703,0,297,595,0,108
52,0.000000,320,680,47,273,368,75,237
53,0.000000,295,705,0,295,582,1,122
54,0.000000,291,709,0,291,585,0,124
55,0.000000,315,685,56,259,286,115,284
56,0.000000,308,692,198,110,141,432,119
57,0.000000,305,695,31,274,387,79,229
58,0.000000,308,692,151,157,182,322,188
59,0.000000,302,698,1,301,586,1,111
60,0.000000,314,686,0,314,559,0,127
61,0.000000,317,683,0,317,568,0,115
62,0.000000,297,703,26,271,419,63,221
63,0.000000,324,676,139,185,187,315,174
64,0.000000,309,691,12,297,511,14,166
65,0.000000,299,701,60,239,282,127,292
66,0.000000,322,678,0,322,571,1,106
67,0.000000,325,675,0,325,545,0,130
68,0.000000,335,665,0,335,549,0,116
69,0.000000,310,690,16,294,476,40,174
70,0.000000,325,675,86,239,264,165,246
71,0.000000,312,688,1,311,571,1,116
72,0.000000,300,700,0,300,590,0,110
73,0.000000,325,675,0,325,573,0,102
74,0.000000,309,691,0,309,572,0,119
75,0.000000,332,668,0,332,554,0,114
