iteration,erreur_moy,nombre_egalite,nombre_preference,pred_vrai_egalite,pred_fausse_egalite,pred_vrai_preference,pred_fausse_preference,pred_fausse_inversion
0,0.207851,325,675,0,325,318,0,357
1,0.196007,298,702,0,298,321,0,381
2,0.196007,333,667,0,333,328,0,339
3,0.164025,327,673,0,327,315,1,357
4,0.164025,332,668,0,332,330,6,332
5,0.164025,316,684,0,316,318,2,364
6,0.164025,289,711,0,289,356,1,354
7,0.164025,281,719,0,281,319,0,400
8,0.164025,305,695,0,305,331,0,364
9,0.164025,314,686,0,314,338,3,345
10,0.164025,329,671,0,329,334,2,335
11,0.164025,319,681,1,318,325,0,356
12,0.164025,319,681,4,315,327,0,354
13,0.155967,320,680,0,320,313,0,367
14,0.151119,296,704,0,296,324,0,380
15,0.151119,300,700,0,300,341,0,359
16,0.151119,324,676,0,324,331,0,345
17,0.147590,323,677,0,323,331,0,346
18,0.147590,330,670,0,330,312,3,355
19,0.147590,314,686,0,314,336,11,339
20,0.147590,311,689,0,311,340,0,349
21,0.147590,297,703,0,297,390,0,313
22,0.147590,310,690,0,310,334,0,356
23,0.147590,322,678,0,322,331,0,347
24,0.147590,326,674,0,326,332,0,342
25,0.147590,318,682,0,318,325,0,357
26,0.147590,275,725,0,275,362,0,363
27,0.147590,315,685,3,312,357,2,326
28,0.147590,299,701,1,298,352,11,338
29,0.133971,316,684,0,316,350,10,324
30,0.133971,313,687,0,313,349,6,332
31,0.133971,304,696,0,304,357,6,333
32,0.133971,292,708,0,292,343,1,364
33,0.133971,322,678,0,322,345,0,333
34,0.133971,325,675,0,325,365,0,310
35,0.133971,323,677,0,323,343,0,334
36,0.133971,345,655,0,345,348,1,306
37,0.133971,325,675,0,325,361,3,311
38,0.133971,302,698,0,302,348,1,349
39,0.133105,295,705,0,295,361,0,344
40,0.133105,288,712,0,288,369,0,343
41,0.133105,286,714,0,286,357,0,357
42,0.128006,294,706,0,294,375,0,331
43,0.128006,299,701,0,299,369,0,332
44,0.128006,330,670,0,330,337,6,327
45,0.128006,322,678,0,322,354,2,322
46,0.128006,324,676,0,324,352,0,324
47,0.119414,324,676,0,324,352,0,324
48,0.119414,319,681,0,319,365,0,316
49,0.119414,290,710,0,290,370,0,340
50,0.119414,329,671,0,329,351,0,320
51,0.119414,317,683,0,317,359,0,324
52,0.119414,313,687,0,313,356,0,331
