model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse,calc_preference_recall,calc_indifference_recall,calc_preference_precision,calc_indifference_precision,calc_precision_total
L2,linear,1e-05,1e-05,0.8617771509167842,1.0,0.0,0.0,0.611,291,709,0,291,611,0,98,0.8617771509167842,0.0,0.6773835920177383,0.0,0.611
L2,linear,1e-05,1e-08,0.8617771509167842,1.0,0.0,0.0,0.611,291,709,0,291,611,0,98,0.8617771509167842,0.0,0.6773835920177383,0.0,0.611
L2,linear,1e-05,0.1,0.7320169252468265,0.7320169252468265,0.7903780068728522,1.0,0.749,291,709,230,61,519,190,0,0.7320169252468265,0.7903780068728522,0.674025974025974,1.0,0.749
L1,linear,1e-05,1e-08,0.8514851485148515,1.0,0.0,0.0,0.602,293,707,0,293,602,0,105,0.8514851485148515,0.0,0.6726256983240223,0.0,0.602
L2,linear,1e-05,0.01,0.8152327221438646,0.8221906116642959,0.5292096219931272,0.9625,0.732,291,709,154,137,578,125,6,0.8152327221438646,0.5292096219931272,0.6880952380952381,0.9625,0.732
L2,linear,1e-05,1e-05,0.809375,0.9866666666666667,0.0,0.0,0.518,360,640,0,360,518,7,115,0.809375,0.0,0.5853107344632769,0.0,0.518
L2,linear,1e-05,0.1,0.5453125,0.5453125,0.9111111111111111,1.0,0.677,360,640,328,32,349,291,0,0.5453125,0.9111111111111111,0.5193452380952381,1.0,0.677
L2,linear,1e-05,1e-08,0.809375,1.0,0.0,0.0,0.518,360,640,0,360,518,0,122,0.809375,0.0,0.5899772209567198,0.0,0.518
L2,linear,1e-05,0.01,0.6359375,0.6359375,0.7527777777777778,1.0,0.678,360,640,271,89,407,233,0,0.6359375,0.7527777777777778,0.5582990397805213,1.0,0.678
L1,linear,1e-05,1e-08,0.80625,1.0,0.0,0.0,0.516,360,640,0,360,516,0,124,0.80625,0.0,0.589041095890411,0.0,0.516
L1,linear,1e-05,0.1,0.35625,0.36075949367088606,0.9583333333333334,0.9773371104815864,0.573,360,640,345,15,228,404,8,0.35625,0.9583333333333334,0.35239567233384855,0.9773371104815864,0.573
L1,linear,1e-05,1e-05,0.7984375,0.9587242026266416,0.03611111111111111,0.10833333333333334,0.524,360,640,13,347,511,22,107,0.7984375,0.03611111111111111,0.5806818181818182,0.10833333333333334,0.524
L1,linear,1e-05,0.01,0.5765625,0.5838607594936709,0.9138888888888889,0.9762611275964391,0.698,360,640,329,31,369,263,8,0.5765625,0.9138888888888889,0.5565610859728507,0.9762611275964391,0.698
L2,linear,1e-05,0.1,0.5885714285714285,0.5885714285714285,0.7566666666666667,1.0,0.639,300,700,227,73,412,288,0,0.5885714285714285,0.7566666666666667,0.5329883570504528,1.0,0.639
L2,linear,1e-05,1e-08,0.7580174927113703,1.0,0.0,0.0,0.52,314,686,0,314,520,0,166,0.7580174927113703,0.0,0.6235011990407674,0.0,0.52
L2,linear,1e-05,1e-05,0.8728571428571429,1.0,0.0,0.0,0.611,300,700,0,300,611,0,89,0.8728571428571429,0.0,0.6706915477497256,0.0,0.611
L2,linear,1e-05,0.01,0.5991253644314869,0.5991253644314869,0.8089171974522293,1.0,0.665,314,686,254,60,411,275,0,0.5991253644314869,0.8089171974522293,0.5509383378016086,1.0,0.665
L1,linear,1e-05,1e-08,0.8792682926829268,1.0,0.0,0.0,0.721,180,820,0,180,721,0,99,0.8792682926829268,0.0,0.8002219755826859,0.0,0.721
L1,linear,1e-05,0.01,0.6284074605451937,0.6284074605451937,0.7920792079207921,1.0,0.678,303,697,240,63,438,259,0,0.6284074605451937,0.7920792079207921,0.5763157894736842,1.0,0.678
L1,linear,1e-05,1e-05,0.8407460545193687,0.9750415973377704,0.0462046204620462,0.12727272727272726,0.6,303,697,14,289,586,15,96,0.8407460545193687,0.0462046204620462,0.6584269662921348,0.12727272727272726,0.6
L1,linear,1e-05,0.1,0.40028694404591103,0.40028694404591103,0.8877887788778878,1.0,0.548,303,697,269,34,279,418,0,0.40028694404591103,0.8877887788778878,0.3816689466484268,1.0,0.548
L2,linear,1e-05,0.1,0.5309033280507132,0.5334394904458599,0.8509485094850948,0.9905362776025236,0.649,369,631,314,55,335,293,3,0.5309033280507132,0.8509485094850948,0.4904831625183016,0.9905362776025236,0.649
L2,linear,1e-05,1e-08,0.6385737439222042,1.0,0.0,0.0,0.394,383,617,0,383,394,0,223,0.6385737439222042,0.0,0.5070785070785071,0.0,0.394
L2,linear,1e-05,1e-05,0.6385737439222042,1.0,0.020887728459530026,0.03463203463203463,0.402,383,617,8,375,394,0,223,0.6385737439222042,0.020887728459530026,0.5123537061118335,0.03463203463203463,0.402
L2,linear,1e-05,0.01,0.5623987034035657,0.5623987034035657,0.793733681462141,1.0,0.651,383,617,304,79,347,270,0,0.5623987034035657,0.793733681462141,0.4985632183908046,1.0,0.651
L2,linear,1e-05,0.1,0.6516690856313497,0.6516690856313497,0.8038585209003215,1.0,0.699,311,689,250,61,449,240,0,0.6516690856313497,0.8038585209003215,0.5986666666666667,1.0,0.699
L1,linear,1e-05,1e-05,0.8219749652294854,0.967266775777414,0.0498220640569395,0.11475409836065574,0.605,281,719,14,267,591,20,108,0.8219749652294854,0.0498220640569395,0.673120728929385,0.11475409836065574,0.605
L1,linear,1e-05,0.01,0.6258692628650904,0.6338028169014085,0.8612099644128114,0.9641434262948207,0.692,281,719,242,39,450,260,9,0.6258692628650904,0.8612099644128114,0.6008010680907877,0.9641434262948207,0.692
L1,linear,1e-05,1e-08,0.8005908419497785,1.0,0.0,0.0,0.542,323,677,0,323,542,0,135,0.8005908419497785,0.0,0.6265895953757226,0.0,0.542
L1,linear,1e-05,0.1,0.33518776077885953,0.33943661971830985,0.9395017793594306,0.967032967032967,0.505,281,719,264,17,241,469,9,0.33518776077885953,0.9395017793594306,0.3314993122420908,0.967032967032967,0.505
L2,linear,1e-05,1e-08,0.8412698412698413,1.0,0.0,0.0,0.583,307,693,0,307,583,0,110,0.8412698412698413,0.0,0.6550561797752809,0.0,0.583
L2,linear,1e-05,1e-05,0.8161244695898161,0.9779661016949153,0.0,0.0,0.577,293,707,0,293,577,13,117,0.8161244695898161,0.0,0.6534541336353341,0.0,0.577
L2,linear,1e-05,0.01,0.6449787835926449,0.6449787835926449,0.6825938566552902,1.0,0.656,293,707,200,93,456,251,0,0.6449787835926449,0.6825938566552902,0.57,1.0,0.656
L2,linear,1e-05,0.1,0.6553254437869822,0.6553254437869822,0.6975308641975309,1.0,0.669,324,676,226,98,443,233,0,0.6553254437869822,0.6975308641975309,0.5723514211886305,1.0,0.669
L1,linear,1e-05,1e-05,0.8377622377622378,0.9661290322580646,0.06315789473684211,0.1592920353982301,0.617,285,715,18,267,599,21,95,0.8377622377622378,0.06315789473684211,0.6753100338218715,0.1592920353982301,0.617
L1,linear,1e-05,0.01,0.6431478968792401,0.6475409836065574,0.8288973384030418,0.9775784753363229,0.692,263,737,218,45,474,258,5,0.6431478968792401,0.8288973384030418,0.61003861003861,0.9775784753363229,0.692
L2,linear,1e-05,1e-08,0.8048048048048048,1.0,0.0,0.0,0.536,334,666,0,334,536,0,130,0.8048048048048048,0.0,0.6160919540229886,0.0,0.536
L1,linear,1e-05,1e-08,0.8616010854816825,1.0,0.0,0.0,0.635,263,737,0,263,635,0,102,0.8616010854816825,0.0,0.7071269487750557,0.0,0.635
L1,linear,1e-05,0.1,0.4084124830393487,0.4084124830393487,0.9163498098859315,1.0,0.542,263,737,241,22,301,436,0,0.4084124830393487,0.9163498098859315,0.3965744400527009,1.0,0.542
L2,linear,1e-05,1e-05,0.8048048048048048,1.0,0.0,0.0,0.536,334,666,0,334,536,0,130,0.8048048048048048,0.0,0.6160919540229886,0.0,0.536
L2,linear,1e-05,0.01,0.7721518987341772,0.7721518987341772,0.8288043478260869,1.0,0.793,368,632,305,63,488,144,0,0.7721518987341772,0.8288043478260869,0.702158273381295,1.0,0.793
L2,linear,1e-05,1e-10,0.808199121522694,1.0,0.0,0.0,0.552,317,683,0,317,552,0,131,0.808199121522694,0.0,0.6352128883774454,0.0,0.552
L1,linear,1e-05,1e-05,0.8387096774193549,0.9629629629629629,0.0703125,0.15789473684210525,0.642,256,744,18,238,624,24,96,0.8387096774193549,0.0703125,0.7042889390519187,0.15789473684210525,0.642
L1,linear,1e-05,0.01,0.6438172043010753,0.6438172043010753,0.8515625,1.0,0.697,256,744,218,38,479,265,0,0.6438172043010753,0.8515625,0.612531969309463,1.0,0.697
L2,linear,1e-05,1e-12,0.8433908045977011,1.0,0.0,0.0,0.587,304,696,0,304,587,0,109,0.8433908045977011,0.0,0.6588103254769921,0.0,0.587
L1,linear,1e-05,1e-10,0.8133704735376045,1.0,0.0,0.0,0.584,282,718,0,282,584,0,134,0.8133704735376045,0.0,0.674364896073903,0.0,0.584
L1,linear,1e-05,1e-08,0.807799442896936,1.0,0.0,0.0,0.58,282,718,0,282,580,0,138,0.807799442896936,0.0,0.6728538283062645,0.0,0.58
L1,linear,1e-05,0.1,0.3467966573816156,0.3492286115007013,0.9184397163120568,0.9810606060606061,0.508,282,718,259,23,249,464,5,0.3467966573816156,0.9184397163120568,0.3383152173913043,0.9810606060606061,0.508
L1,linear,1e-05,1e-12,0.8583815028901735,1.0,0.0,0.0,0.594,308,692,0,308,594,0,98,0.8583815028901735,0.0,0.6585365853658537,0.0,0.594
L2,linear,1e-05,1e-10,0.8171428571428572,1.0,0.0,0.0,0.572,300,700,0,300,572,0,128,0.8171428571428572,0.0,0.6559633027522935,0.0,0.572
L2,linear,1e-05,1e-15,0.9011627906976745,1.0,0.0,0.0,0.62,312,688,0,312,620,0,68,0.9011627906976745,0.0,0.6652360515021459,0.0,0.62
L2,linear,1e-05,1e-12,0.7344398340248963,1.0,0.0,0.0,0.531,277,723,0,277,531,0,192,0.7344398340248963,0.0,0.6571782178217822,0.0,0.531
L1,linear,1e-05,1e-15,0.8243430152143845,1.0,0.0,0.0,0.596,277,723,0,277,596,0,127,0.8243430152143845,0.0,0.6827033218785796,0.0,0.596
L2,linear,1e-05,1e-10,0.6619318181818182,1.0,0.0,0.0,0.466,296,704,0,296,466,0,238,0.6619318181818182,0.0,0.6115485564304461,0.0,0.466
L1,linear,1e-05,1e-10,0.8243430152143845,1.0,0.0,0.0,0.596,277,723,0,277,596,0,127,0.8243430152143845,0.0,0.6827033218785796,0.0,0.596
L2,linear,1e-05,1e-15,0.7151898734177216,1.0,0.0,0.0,0.452,368,632,0,368,452,0,180,0.7151898734177216,0.0,0.551219512195122,0.0,0.452
L1,linear,1e-05,1e-12,0.8286118980169972,1.0,0.0,0.0,0.585,294,706,0,294,585,0,121,0.8286118980169972,0.0,0.6655290102389079,0.0,0.585
L2,linear,1e-05,1e-12,0.8743589743589744,1.0,0.0,0.0,0.682,220,780,0,220,682,0,98,0.8743589743589744,0.0,0.7560975609756098,0.0,0.682
L2,linear,1e-05,1e-10,0.8540462427745664,1.0,0.0,0.0,0.591,308,692,0,308,591,0,101,0.8540462427745664,0.0,0.657397107897664,0.0,0.591
L1,linear,1e-05,1e-15,0.8302158273381295,1.0,0.0,0.0,0.577,305,695,0,305,577,0,118,0.8302158273381295,0.0,0.6541950113378685,0.0,0.577
L2,linear,1e-05,1e-15,0.7928994082840237,1.0,0.0,0.0,0.536,324,676,0,324,536,0,140,0.7928994082840237,0.0,0.6232558139534884,0.0,0.536
L1,linear,1e-05,1e-10,0.8476331360946746,1.0,0.0,0.0,0.573,324,676,0,324,573,0,103,0.8476331360946746,0.0,0.6387959866220736,0.0,0.573
L1,linear,1e-05,1e-12,0.8110795454545454,1.0,0.0,0.0,0.571,296,704,0,296,571,0,133,0.8110795454545454,0.0,0.6585928489042676,0.0,0.571
L2,linear,1e-05,1e-12,0.8348993288590604,1.0,0.0,0.0,0.622,255,745,0,255,622,0,123,0.8348993288590604,0.0,0.7092360319270239,0.0,0.622
L2,linear,1e-05,1e-10,0.847457627118644,1.0,0.0,0.0,0.6,292,708,0,292,600,0,108,0.847457627118644,0.0,0.672645739910314,0.0,0.6
L1,linear,1e-05,1e-10,0.7712609970674487,1.0,0.0,0.0,0.526,318,682,0,318,526,0,156,0.7712609970674487,0.0,0.6232227488151659,0.0,0.526
L2,linear,1e-05,1e-15,0.7695590327169275,1.0,0.0,0.0,0.541,297,703,0,297,541,0,162,0.7695590327169275,0.0,0.6455847255369929,0.0,0.541
L1,linear,1e-05,1e-15,0.8418803418803419,1.0,0.0,0.0,0.591,298,702,0,298,591,0,111,0.8418803418803419,0.0,0.6647919010123734,0.0,0.591
L2,linear,1e-05,1e-12,0.797317436661699,1.0,0.0,0.0,0.535,329,671,0,329,535,0,136,0.797317436661699,0.0,0.6192129629629629,0.0,0.535
L1,linear,1e-05,1e-12,0.8680465717981889,1.0,0.0,0.0,0.671,227,773,0,227,671,0,102,0.8680465717981889,0.0,0.7472160356347439,0.0,0.671
