model,crit,learning_rate,delta,preference_recall,preference_precision,indifference_recall,indifference_precision,total_recall,nb_indifferences,nb_preferences,nb_indiff_vrai,nb_indiff_fausse,nb_pref_vrai,nb_pref_fausse,nb_pref_inverse
L2,linear,1e-05,1e-05,0.8617771509167842,1.0,0.0,0.0,0.611,291,709,0,291,611,0,98
L2,linear,1e-05,1e-08,0.8617771509167842,1.0,0.0,0.0,0.611,291,709,0,291,611,0,98
L2,linear,1e-05,0.1,0.7320169252468265,0.7320169252468265,0.7903780068728522,1.0,0.749,291,709,230,61,519,190,0
L1,linear,1e-05,1e-08,0.8514851485148515,1.0,0.0,0.0,0.602,293,707,0,293,602,0,105
L2,linear,1e-05,0.01,0.8152327221438646,0.8221906116642959,0.5292096219931272,0.9625,0.732,291,709,154,137,578,125,6
L2,linear,1e-05,1e-05,0.809375,0.9866666666666667,0.0,0.0,0.518,360,640,0,360,518,7,115
L2,linear,1e-05,0.1,0.5453125,0.5453125,0.9111111111111111,1.0,0.677,360,640,328,32,349,291,0
L2,linear,1e-05,1e-08,0.809375,1.0,0.0,0.0,0.518,360,640,0,360,518,0,122
L2,linear,1e-05,0.01,0.6359375,0.6359375,0.7527777777777778,1.0,0.678,360,640,271,89,407,233,0
L1,linear,1e-05,1e-08,0.80625,1.0,0.0,0.0,0.516,360,640,0,360,516,0,124
L1,linear,1e-05,0.1,0.35625,0.36075949367088606,0.9583333333333334,0.9773371104815864,0.573,360,640,345,15,228,404,8
L1,linear,1e-05,1e-05,0.7984375,0.9587242026266416,0.03611111111111111,0.10833333333333334,0.524,360,640,13,347,511,22,107
L1,linear,1e-05,0.01,0.5765625,0.5838607594936709,0.9138888888888889,0.9762611275964391,0.698,360,640,329,31,369,263,8
L2,linear,1e-05,0.1,0.5885714285714285,0.5885714285714285,0.7566666666666667,1.0,0.639,300,700,227,73,412,288,0
L2,linear,1e-05,1e-08,0.7580174927113703,1.0,0.0,0.0,0.52,314,686,0,314,520,0,166
L2,linear,1e-05,1e-05,0.8728571428571429,1.0,0.0,0.0,0.611,300,700,0,300,611,0,89
L2,linear,1e-05,0.01,0.5991253644314869,0.5991253644314869,0.8089171974522293,1.0,0.665,314,686,254,60,411,275,0
L1,linear,1e-05,1e-08,0.8792682926829268,1.0,0.0,0.0,0.721,180,820,0,180,721,0,99
L1,linear,1e-05,0.01,0.6284074605451937,0.6284074605451937,0.7920792079207921,1.0,0.678,303,697,240,63,438,259,0
L1,linear,1e-05,1e-05,0.8407460545193687,0.9750415973377704,0.0462046204620462,0.12727272727272726,0.6,303,697,14,289,586,15,96
L1,linear,1e-05,0.1,0.40028694404591103,0.40028694404591103,0.8877887788778878,1.0,0.548,303,697,269,34,279,418,0
L2,linear,1e-05,0.1,0.5309033280507132,0.5334394904458599,0.8509485094850948,0.9905362776025236,0.649,369,631,314,55,335,293,3
L2,linear,1e-05,1e-08,0.6385737439222042,1.0,0.0,0.0,0.394,383,617,0,383,394,0,223
L2,linear,1e-05,1e-05,0.6385737439222042,1.0,0.020887728459530026,0.03463203463203463,0.402,383,617,8,375,394,0,223
L2,linear,1e-05,0.01,0.5623987034035657,0.5623987034035657,0.793733681462141,1.0,0.651,383,617,304,79,347,270,0
L2,linear,1e-05,0.1,0.6516690856313497,0.6516690856313497,0.8038585209003215,1.0,0.699,311,689,250,61,449,240,0
L1,linear,1e-05,1e-05,0.8219749652294854,0.967266775777414,0.0498220640569395,0.11475409836065574,0.605,281,719,14,267,591,20,108
L1,linear,1e-05,0.01,0.6258692628650904,0.6338028169014085,0.8612099644128114,0.9641434262948207,0.692,281,719,242,39,450,260,9
L1,linear,1e-05,1e-08,0.8005908419497785,1.0,0.0,0.0,0.542,323,677,0,323,542,0,135
L1,linear,1e-05,0.1,0.33518776077885953,0.33943661971830985,0.9395017793594306,0.967032967032967,0.505,281,719,264,17,241,469,9
L2,linear,1e-05,1e-08,0.8412698412698413,1.0,0.0,0.0,0.583,307,693,0,307,583,0,110
L2,linear,1e-05,1e-05,0.8161244695898161,0.9779661016949153,0.0,0.0,0.577,293,707,0,293,577,13,117
L2,linear,1e-05,0.01,0.6449787835926449,0.6449787835926449,0.6825938566552902,1.0,0.656,293,707,200,93,456,251,0
L2,linear,1e-05,0.1,0.6553254437869822,0.6553254437869822,0.6975308641975309,1.0,0.669,324,676,226,98,443,233,0
L1,linear,1e-05,1e-05,0.8377622377622378,0.9661290322580646,0.06315789473684211,0.1592920353982301,0.617,285,715,18,267,599,21,95
L1,linear,1e-05,0.01,0.6431478968792401,0.6475409836065574,0.8288973384030418,0.9775784753363229,0.692,263,737,218,45,474,258,5
L2,linear,1e-05,1e-08,0.8048048048048048,1.0,0.0,0.0,0.536,334,666,0,334,536,0,130
L1,linear,1e-05,1e-08,0.8616010854816825,1.0,0.0,0.0,0.635,263,737,0,263,635,0,102
L1,linear,1e-05,0.1,0.4084124830393487,0.4084124830393487,0.9163498098859315,1.0,0.542,263,737,241,22,301,436,0
L2,linear,1e-05,1e-05,0.8048048048048048,1.0,0.0,0.0,0.536,334,666,0,334,536,0,130
L2,linear,1e-05,0.01,0.7721518987341772,0.7721518987341772,0.8288043478260869,1.0,0.793,368,632,305,63,488,144,0
L2,linear,1e-05,1e-10,0.808199121522694,1.0,0.0,0.0,0.552,317,683,0,317,552,0,131
L1,linear,1e-05,1e-05,0.8387096774193549,0.9629629629629629,0.0703125,0.15789473684210525,0.642,256,744,18,238,624,24,96
L1,linear,1e-05,0.01,0.6438172043010753,0.6438172043010753,0.8515625,1.0,0.697,256,744,218,38,479,265,0
L2,linear,1e-05,1e-12,0.8433908045977011,1.0,0.0,0.0,0.587,304,696,0,304,587,0,109
L1,linear,1e-05,1e-10,0.8133704735376045,1.0,0.0,0.0,0.584,282,718,0,282,584,0,134
L1,linear,1e-05,1e-08,0.807799442896936,1.0,0.0,0.0,0.58,282,718,0,282,580,0,138
L1,linear,1e-05,0.1,0.3467966573816156,0.3492286115007013,0.9184397163120568,0.9810606060606061,0.508,282,718,259,23,249,464,5
L1,linear,1e-05,1e-12,0.8583815028901735,1.0,0.0,0.0,0.594,308,692,0,308,594,0,98
L2,linear,1e-05,1e-10,0.8171428571428572,1.0,0.0,0.0,0.572,300,700,0,300,572,0,128
L2,linear,1e-05,1e-15,0.9011627906976745,1.0,0.0,0.0,0.62,312,688,0,312,620,0,68
L2,linear,1e-05,1e-12,0.7344398340248963,1.0,0.0,0.0,0.531,277,723,0,277,531,0,192
L1,linear,1e-05,1e-15,0.8243430152143845,1.0,0.0,0.0,0.596,277,723,0,277,596,0,127
L2,linear,1e-05,1e-10,0.6619318181818182,1.0,0.0,0.0,0.466,296,704,0,296,466,0,238
L1,linear,1e-05,1e-10,0.8243430152143845,1.0,0.0,0.0,0.596,277,723,0,277,596,0,127
L2,linear,1e-05,1e-15,0.7151898734177216,1.0,0.0,0.0,0.452,368,632,0,368,452,0,180
